Date,Flights
01/01/2021,128717
02/01/2021,162303
03/01/2021,169310
04/01/2021,173386
05/01/2021,161288
06/01/2021,156172
07/01/2021,163601
08/01/2021,163535
09/01/2021,167080
10/01/2021,172335
11/01/2021,170304
12/01/2021,146139
13/01/2021,143175
14/01/2021,160497
15/01/2021,163077
16/01/2021,167969
17/01/2021,171412
18/01/2021,171368
19/01/2021,146099
20/01/2021,144117
21/01/2021,165504
22/01/2021,165434
23/01/2021,164357
24/01/2021,170732
25/01/2021,182063
26/01/2021,158290
27/01/2021,150084
28/01/2021,162823
29/01/2021,167473
30/01/2021,169560
31/01/2021,172592
01/02/2021,173657
02/02/2021,147095
03/02/2021,143755
04/02/2021,157962
05/02/2021,162766
06/02/2021,169279
07/02/2021,170945
08/02/2021,175057
09/02/2021,150962
10/02/2021,145408
11/02/2021,159347
12/02/2021,162972
13/02/2021,171927
14/02/2021,181564
15/02/2021,183720
16/02/2021,162656
17/02/2021,158729
18/02/2021,175300
19/02/2021,173623
20/02/2021,165324
21/02/2021,175378
22/02/2021,179037
23/02/2021,161243
24/02/2021,161890
25/02/2021,175345
26/02/2021,181297
27/02/2021,181830
28/02/2021,179643
01/03/2021,180143
02/03/2021,153198
03/03/2021,149440
04/03/2021,165254
05/03/2021,176597
06/03/2021,179705
07/03/2021,182154
08/03/2021,181259
09/03/2021,155062
10/03/2021,154993
11/03/2021,176098
12/03/2021,175953
13/03/2021,172773
14/03/2021,178389
15/03/2021,183851
16/03/2021,168129
17/03/2021,171119
18/03/2021,183665
19/03/2021,188122
20/03/2021,190106
21/03/2021,189411
22/03/2021,192722
23/03/2021,175774
24/03/2021,179298
25/03/2021,169056
26/03/2021,178914
27/03/2021,190132
28/03/2021,192223
29/03/2021,193782
30/03/2021,176158
31/03/2021,177247
01/04/2021,185743
02/04/2021,184577
03/04/2021,188460
04/04/2021,187792
05/04/2021,182959
06/04/2021,167645
07/04/2021,172498
08/04/2021,179078
09/04/2021,183011
10/04/2021,178895
11/04/2021,155934
12/04/2021,193655
13/04/2021,173790
14/04/2021,163813
15/04/2021,185611
16/04/2021,196594
17/04/2021,203239
18/04/2021,200906
19/04/2021,187339
20/04/2021,178923
21/04/2021,172458
22/04/2021,197510
23/04/2021,194611
24/04/2021,196977
25/04/2021,202680
26/04/2021,190950
27/04/2021,170235
28/04/2021,176610
29/04/2021,188526
30/04/2021,188591
01/05/2021,197625
02/05/2021,190952
03/05/2021,190758
04/05/2021,171350
05/05/2021,179229
06/05/2021,194287
07/05/2021,196322
08/05/2021,188353
09/05/2021,186535
10/05/2021,193129
11/05/2021,174326
12/05/2021,170796
13/05/2021,188640
14/05/2021,198047
15/05/2021,205992
16/05/2021,202754
17/05/2021,199481
18/05/2021,185452
19/05/2021,171644
20/05/2021,181320
21/05/2021,188400
22/05/2021,203930
23/05/2021,208911
24/05/2021,210529
25/05/2021,188596
26/05/2021,171557
27/05/2021,186249
28/05/2021,188669
29/05/2021,199763
30/05/2021,208540
31/05/2021,217824
01/06/2021,203404
02/06/2021,195567
03/06/2021,199616
04/06/2021,205183
05/06/2021,201015
06/06/2021,204126
07/06/2021,206793
08/06/2021,191510
09/06/2021,191141
10/06/2021,192994
11/06/2021,206323
12/06/2021,209091
13/06/2021,211327
14/06/2021,217326
15/06/2021,191436
16/06/2021,186376
17/06/2021,204478
18/06/2021,207100
19/06/2021,209974
20/06/2021,209020
21/06/2021,220066
22/06/2021,201351
23/06/2021,200988
24/06/2021,205474
25/06/2021,211053
26/06/2021,217669
27/06/2021,221756
28/06/2021,224508
29/06/2021,203062
30/06/2021,191917
01/07/2021,204761
02/07/2021,210281
03/07/2021,215963
04/07/2021,194521
05/07/2021,197610
06/07/2021,189617
07/07/2021,198175
08/07/2021,208985
09/07/2021,216151
10/07/2021,221243
11/07/2021,215438
12/07/2021,217564
13/07/2021,202640
14/07/2021,198425
15/07/2021,210892
16/07/2021,219299
17/07/2021,219971
18/07/2021,221813
19/07/2021,223188
20/07/2021,201011
21/07/2021,202085
22/07/2021,207657
23/07/2021,214631
24/07/2021,225296
25/07/2021,230409
26/07/2021,226565
27/07/2021,198060
28/07/2021,196075
29/07/2021,209879
30/07/2021,213381
31/07/2021,216215
01/08/2021,224610
02/08/2021,218980
03/08/2021,202783
04/08/2021,206320
05/08/2021,208326
06/08/2021,207988
07/08/2021,206926
08/08/2021,219565
09/08/2021,215485
10/08/2021,190876
11/08/2021,191657
12/08/2021,201431
13/08/2021,207213
14/08/2021,215384
15/08/2021,215063
16/08/2021,217199
17/08/2021,192203
18/08/2021,190958
19/08/2021,204621
20/08/2021,215041
21/08/2021,218435
22/08/2021,224385
23/08/2021,223653
24/08/2021,213638
25/08/2021,205374
26/08/2021,204770
27/08/2021,208114
28/08/2021,214472
29/08/2021,224682
30/08/2021,225912
31/08/2021,209889
01/09/2021,187549
02/09/2021,198599
03/09/2021,196660
04/09/2021,208740
05/09/2021,220017
06/09/2021,217665
07/09/2021,200089
08/09/2021,197495
09/09/2021,202320
10/09/2021,205346
11/09/2021,208070
12/09/2021,213798
13/09/2021,215129
14/09/2021,201472
15/09/2021,197282
16/09/2021,200261
17/09/2021,208324
18/09/2021,213812
19/09/2021,217215
20/09/2021,217235
21/09/2021,200873
22/09/2021,189962
23/09/2021,195146
24/09/2021,201408
25/09/2021,206689
26/09/2021,208904
27/09/2021,210361
28/09/2021,181604
29/09/2021,180420
30/09/2021,194024
01/10/2021,195208
02/10/2021,201794
03/10/2021,206625
04/10/2021,204330
05/10/2021,188181
06/10/2021,179729
07/10/2021,192075
08/10/2021,198105
09/10/2021,198359
10/10/2021,202796
11/10/2021,201701
12/10/2021,186101
13/10/2021,187760
14/10/2021,197233
15/10/2021,197609
16/10/2021,194587
17/10/2021,205438
18/10/2021,207353
19/10/2021,181528
20/10/2021,178744
21/10/2021,186771
22/10/2021,193761
23/10/2021,206282
24/10/2021,207139
25/10/2021,202007
26/10/2021,180419
27/10/2021,174852
28/10/2021,191158
29/10/2021,186201
30/10/2021,184409
31/10/2021,186754
01/11/2021,191678
02/11/2021,176349
03/11/2021,174357
04/11/2021,190227
05/11/2021,191909
06/11/2021,197451
07/11/2021,192468
08/11/2021,198028
09/11/2021,175403
10/11/2021,178772
11/11/2021,179274
12/11/2021,181631
13/11/2021,194213
14/11/2021,198711
15/11/2021,197023
16/11/2021,174736
17/11/2021,170225
18/11/2021,185691
19/11/2021,191126
20/11/2021,189792
21/11/2021,193031
22/11/2021,194594
23/11/2021,177433
24/11/2021,173066
25/11/2021,187646
26/11/2021,190126
27/11/2021,179689
28/11/2021,153284
29/11/2021,165164
30/11/2021,167407
01/12/2021,166264
02/12/2021,181253
03/12/2021,192123
04/12/2021,195532
05/12/2021,197228
06/12/2021,195281
07/12/2021,174242
08/12/2021,163776
09/12/2021,172272
10/12/2021,182071
11/12/2021,191475
12/12/2021,195798
13/12/2021,185978
14/12/2021,155636
15/12/2021,166464
16/12/2021,182294
17/12/2021,181205
18/12/2021,196224
19/12/2021,201618
20/12/2021,199255
21/12/2021,179561
22/12/2021,166585
23/12/2021,176614
24/12/2021,151230
25/12/2021,120212
26/12/2021,166012
27/12/2021,178009
28/12/2021,168658
29/12/2021,161805
30/12/2021,171314
31/12/2021,160672
01/01/2021,144067
02/01/2021,175861
03/01/2021,175444
04/01/2021,165733
05/01/2021,172605
06/01/2021,184566
07/01/2021,183328
08/01/2021,179306
09/01/2021,185552
10/01/2021,183890
11/01/2021,154564
12/01/2021,161515
13/01/2021,171632
14/01/2021,173162
15/01/2021,187297
16/01/2021,187023
17/01/2021,188157
18/01/2021,161254
19/01/2021,165794
20/01/2021,189099
21/01/2021,190867
22/01/2021,184248
23/01/2021,189810
24/01/2021,189551
25/01/2021,162301
26/01/2021,164267
27/01/2021,176736
28/01/2021,178310
29/01/2021,184425
30/01/2021,186239
31/01/2021,184949
01/02/2021,154067
02/02/2021,158666
03/02/2021,179441
04/02/2021,170708
05/02/2021,174865
06/02/2021,171934
07/02/2021,181611
08/02/2021,169881
09/02/2021,152651
10/02/2021,159472
11/02/2021,161819
12/02/2021,176204
13/02/2021,176585
14/02/2021,192613
15/02/2021,169293
16/02/2021,157345
17/02/2021,173785
18/02/2021,172208
19/02/2021,183938
20/02/2021,183430
21/02/2021,196756
22/02/2021,175274
23/02/2021,166252
24/02/2021,173788
25/02/2021,172456
26/02/2021,173708
27/02/2021,186942
28/02/2021,194125
01/03/2021,167470
02/03/2021,172689
03/03/2021,176892
04/03/2021,182378
05/03/2021,188674
06/03/2021,188587
07/03/2021,168507
08/03/2021,171187
09/03/2021,175350
10/03/2021,171193
11/03/2021,181341
12/03/2021,179920
13/03/2021,171961
14/03/2021,155729
15/03/2021,153521
16/03/2021,157293
17/03/2021,148325
18/03/2021,144330
19/03/2021,132135
20/03/2021,129138
21/03/2021,115564
22/03/2021,102181
23/03/2021,95227
24/03/2021,98539
25/03/2021,94477
26/03/2021,96970
27/03/2021,89276
28/03/2021,69508
29/03/2021,64522
30/03/2021,74295
31/03/2021,77465
01/04/2021,80431
02/04/2021,76022
03/04/2021,72785
04/04/2021,61570
05/04/2021,57065
06/04/2021,67420
07/04/2021,73157
08/04/2021,74591
09/04/2021,68623
10/04/2021,68188
11/04/2021,62592
12/04/2021,46294
13/04/2021,54214
14/04/2021,71808
15/04/2021,74953
16/04/2021,75216
17/04/2021,72081
18/04/2021,58163
19/04/2021,57994
20/04/2021,67434
21/04/2021,75371
22/04/2021,78427
23/04/2021,76032
24/04/2021,74831
25/04/2021,68877
26/04/2021,63561
27/04/2021,74696
28/04/2021,80714
29/04/2021,76156
30/04/2021,78510
01/05/2021,81522
02/05/2021,71244
03/05/2021,68602
04/05/2021,77484
05/05/2021,84315
06/05/2021,90071
07/05/2021,96122
08/05/2021,88776
09/05/2021,81275
10/05/2021,64344
11/05/2021,79443
12/05/2021,89858
13/05/2021,94702
14/05/2021,94368
15/05/2021,94840
16/05/2021,91233
17/05/2021,87398
18/05/2021,89296
19/05/2021,98601
20/05/2021,110349
21/05/2021,121065
22/05/2021,107821
23/05/2021,84093
24/05/2021,80451
25/05/2021,84532
26/05/2021,99868
27/05/2021,111860
28/05/2021,107189
29/05/2021,112233
30/05/2021,106999
31/05/2021,102287
01/06/2021,117797
02/06/2021,118835
03/06/2021,116320
04/06/2021,112990
05/06/2021,111025
06/06/2021,93355
07/06/2021,90962
08/06/2021,106809
09/06/2021,109757
10/06/2021,115051
11/06/2021,123965
12/06/2021,135545
13/06/2021,114310
14/06/2021,103124
15/06/2021,118914
16/06/2021,122942
17/06/2021,128775
18/06/2021,128959
19/06/2021,128228
20/06/2021,118555
21/06/2021,112276
22/06/2021,121175
23/06/2021,128606
24/06/2021,138845
25/06/2021,139183
26/06/2021,135951
27/06/2021,113899
28/06/2021,105289
29/06/2021,116337
30/06/2021,125957
01/07/2021,133384
02/07/2021,142950
03/07/2021,141940
04/07/2021,116896
05/07/2021,118048
06/07/2021,127813
07/07/2021,136786
08/07/2021,139012
09/07/2021,147323
10/07/2021,146182
11/07/2021,141124
12/07/2021,143199
13/07/2021,147301
14/07/2021,147427
15/07/2021,149426
16/07/2021,148395
17/07/2021,155093
18/07/2021,148535
19/07/2021,139824
20/07/2021,145643
21/07/2021,146312
22/07/2021,146449
23/07/2021,149118
24/07/2021,151744
25/07/2021,142760
26/07/2021,129750
27/07/2021,137884
28/07/2021,140805
29/07/2021,135541
30/07/2021,152409
31/07/2021,160034
01/08/2021,145736
02/08/2021,129153
03/08/2021,136365
04/08/2021,142681
05/08/2021,159116
06/08/2021,163789
07/08/2021,163664
08/08/2021,152224
09/08/2021,145270
10/08/2021,148852
11/08/2021,153882
12/08/2021,158289
13/08/2021,158569
14/08/2021,159621
15/08/2021,145720
16/08/2021,141931
17/08/2021,147485
18/08/2021,154941
19/08/2021,160289
20/08/2021,167110
21/08/2021,159724
22/08/2021,142494
23/08/2021,142071
24/08/2021,144217
25/08/2021,148116
26/08/2021,152846
27/08/2021,159110
28/08/2021,155275
29/08/2021,133324
30/08/2021,136981
31/08/2021,145561
01/09/2021,146148
02/09/2021,152636
03/09/2021,162095
04/09/2021,173559
05/09/2021,159021
06/09/2021,141825
07/09/2021,145320
08/09/2021,143196
09/09/2021,146196
10/09/2021,153377
11/09/2021,162215
12/09/2021,149109
13/09/2021,145029
14/09/2021,148274
15/09/2021,157722
16/09/2021,156758
17/09/2021,155895
18/09/2021,164247
19/09/2021,155400
20/09/2021,150231
21/09/2021,148551
22/09/2021,154255
23/09/2021,157382
24/09/2021,156616
25/09/2021,153321
26/09/2021,132201
27/09/2021,130980
28/09/2021,130931
29/09/2021,130882
30/09/2021,155109
01/10/2021,163100
02/10/2021,159331
03/10/2021,140138
04/10/2021,135064
05/10/2021,142464
06/10/2021,150356
07/10/2021,152426
08/10/2021,161245
09/10/2021,163785
10/10/2021,135202
11/10/2021,132441
12/10/2021,132649
13/10/2021,146771
14/10/2021,157357
15/10/2021,156068
16/10/2021,157148
17/10/2021,144068
18/10/2021,139373
19/10/2021,138651
20/10/2021,138166
21/10/2021,139069
22/10/2021,151846
23/10/2021,141878
24/10/2021,128438
25/10/2021,123675
26/10/2021,124271
27/10/2021,136318
28/10/2021,142076
29/10/2021,143870
30/10/2021,161577
31/10/2021,150905
01/11/2021,122920
02/11/2021,141570
03/11/2021,154779
04/11/2021,167179
05/11/2021,166889
06/11/2021,169742
07/11/2021,144085
08/11/2021,131575
09/11/2021,137983
10/11/2021,136552
11/11/2021,135773
12/11/2021,152913
13/11/2021,156985
14/11/2021,140152
15/11/2021,123670
16/11/2021,145682
17/11/2021,148984
18/11/2021,154212
19/11/2021,153455
20/11/2021,168452
21/11/2021,150169
22/11/2021,129459
23/11/2021,140867
24/11/2021,150370
25/11/2021,147614
26/11/2021,109293
27/11/2021,130016
28/11/2021,131483
29/11/2021,135971
30/11/2021,130912
01/12/2021,149432
02/12/2021,157000
03/12/2021,161041
04/12/2021,159359
05/12/2021,139015
06/12/2021,131888
07/12/2021,138117
08/12/2021,152078
09/12/2021,163047
10/12/2021,167196
11/12/2021,157400
12/12/2021,122437
13/12/2021,122790
14/12/2021,137180
15/12/2021,150370
16/12/2021,141021
17/12/2021,154311
18/12/2021,167781
19/12/2021,151293
20/12/2021,134888
21/12/2021,140175
22/12/2021,156499
23/12/2021,153218
24/12/2021,113112
25/12/2021,86450
26/12/2021,126552
27/12/2021,137385
28/12/2021,133896
29/12/2021,143506
30/12/2021,142838
31/12/2021,116553
01/01/2021,93897
02/01/2021,120291
03/01/2021,130037
04/01/2021,137935
05/01/2021,138303
06/01/2021,138576
07/01/2021,141572
08/01/2021,139866
09/01/2021,133933
10/01/2021,132867
11/01/2021,135168
12/01/2021,139964
13/01/2021,151105
14/01/2021,152648
15/01/2021,143574
16/01/2021,126077
17/01/2021,124504
18/01/2021,137202
19/01/2021,138651
20/01/2021,142017
21/01/2021,147337
22/01/2021,148183
23/01/2021,125375
24/01/2021,114449
25/01/2021,121921
26/01/2021,128840
27/01/2021,134364
28/01/2021,139448
29/01/2021,146372
30/01/2021,129361
31/01/2021,118899
01/02/2021,121137
02/02/2021,127998
03/02/2021,145808
04/02/2021,151090
05/02/2021,146221
06/02/2021,123893
07/02/2021,110960
08/02/2021,132614
09/02/2021,129433
10/02/2021,138101
11/02/2021,131937
12/02/2021,129580
13/02/2021,107369
14/02/2021,102833
15/02/2021,108146
16/02/2021,117876
17/02/2021,141512
18/02/2021,131775
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
